10年間	0000802100-005
飽和状態ニナッタ	0001234110-2562
感情的ニナッタ	0000541104-1026
日陰ニナッタ	0000244105-1281
異ナッタ	0000316103-769
伝統ニ従ッタ	0001161103-769
金ニ困ッタ	0000825100-006
最後ニ残ッタ	0000642100-003
道徳的ニ間違ッタ	0000373110-2561
ピッタリノ	0000543100-006
タップリノ	0000641100-010
雪ノ積モッタ	0000461105-1281
不治ノ病ヲ患ッタ	0000415107-1793
最新ノ情報ヲ持ッタ	0001205106-1537
気ノ狂ッタ	0000223100-002
筋ノ通ッタ	0000491300-007	0000894100-003
ハッタリ	0001168100-009
偉ブッタ	0000868200-009
尊大ブッタ	0000868209-2305
学者ブッタ	0000594200-007
高尚ブッタ	0000594200-006
純情ブッタ	0001016106-1538
知的ブッタ	0000594209-2306
静マリ返ッタ	0001075100-002
生マレ育ッタ	0000235106-1537
定マッタ	0001071103-770	0001071105-1281
広マッタ	0000479100-004
早マッタ	0000902100-009
止マッタ	0001075100-003
決マッタ	0001071103-771	0001071105-1282
込ミ入ッタ	0000180108-2049
希望ヲモッタ	0000769104-1025
期待ヲモッタ	0000769104-1025
ヨリ勝ッタ	0000090100-003
切リ立ッタ	0000522200-003
釣リ合ッタ	0000364106-1537
怒リ狂ッタ	0000475100-003
一風変ワッタ	0001199100-005
変ワッタ	0001080100-005	0001199108-2049	0001199110-2562
自信ヲ失ッタ	0000273105-1281
反感ヲ持ッタ	0000023100-002
希望ヲ失ッタ	0000273104-1025	0000273105-1281
見当識ヲ失ッタ	0000191111-2817	0000191112-3073
理性ヲ失ッタ	0000541104-1025	0000615100-003
正気ヲ失ッタ	0000687108-2049
末期疾患ヲ患ッタ	0000415100-008
偏ッタ	0000091100-001
残ッタ部分	0000928103-769
劣ッタ	0000825200-004
誤ッタ印象	0000550110-2561
年取ッタ	0000761200-001
気取ッタ	0000868205-1281	0000868207-1793
見合ッタ	0000921100-005
困ッタ	0000998200-006
太ッタ	0000414100-001
怒ッタ	0000035100-001	0000037100-001
湿ッタ状態	0000720104-1025
湿ッタ所	0000720104-1026
整ッタ	0000733100-003
洗ッタ	0000155100-002
湿ッタ	0001234100-002
系統立ッタ	0000894106-1537
際立ッタ	0000689100-005	0000929100-004	0001050100-006
腐ッタ	0000967100-001
誤ッタ解釈	0000550109-2305
誤ッタ	0001255100-002
迷ッタ	0001197100-004
違ッタ	0000292100-003
間違ッタ	0001255100-001
黙ッタ	0001022100-001
トリタテテ述ベル	0000169104-1025
見捨テラレタ	0000277100-001
並外レテ優レタ	0000929108-2049	0000929111-2817
疲レ果テタ	0001152100-002
腹ヲ立テタ	0000035100-002
慌テタ	0000952100-007
喜ンデ人ノタメニナル	0000519106-1537
進ンデ人ノタメニナル	0000519106-1537
デタラメナ	0000887100-005
デタラメナ話	0000660100-004
芸術ニ秀デタ	0000224104-1025
制定法デ定メラレタ	0000655104-1025
法律デ定メラレタ	0000655100-008
法律デ認メラレタ	0000655100-005
氷デ覆ワレタ	0000461100-003
雪デ覆ワレタ	0000461100-004
霜デ覆ワレタ	0000461109-2306
データ	0000579100-004
バタント閉マル	0000078100-001
バタント閉メル	0000078100-001	0000159100-006
タレント	0001063100-008
タドル	0000904107-1793
跡ヲタドル	0000445109-2305	0000445110-2561
タメニナル	0000518200-005	0000519103-769	0000580100-002	0001211200-010
新タナ案	0000813108-2049
明確ニ述ベラレタ	0000157204-1025	0000157206-1537
天分ニ恵マレタ	0000491410-2562
憲法ニ定メラレタ	0000655108-2049
規約ニ定メラレタ	0000655108-2049
憲法ニ認メラレタ	0000655108-2049
規約ニ認メラレタ	0000655108-2049
公ニ知ラレタ	0000409107-1793
ニワタル	0000290104-1025
広範囲ニワタル	0000282104-1026	0000479105-1281	0000641100-004	0001237103-769	0001237104-1025	0001237105-1281	0001237106-1537	0001237110-2561
多方面ニワタル	0001237109-2305
細部ニワタル	0000282100-002
雲ニ覆ワレタ	0000162105-1281	0000162108-2049	0000162109-2305
非常ニ優レタ	0000378103-769	0000378104-1025	0000378105-1281	0000378106-1537	0000378108-2049	0000929110-2561
悲嘆ニ暮レタ	0001192100-008
途方ニ暮レタ	0000191100-002
ネタミ	0000621100-003
処罰ノタメノ	0001083109-2305
罰則ノタメノ	0001083109-2305
報復ノタメノ	0001083109-2306
タマノ	0000752100-002	0000890100-005
時タマノ	0000752100-004
当タリ前ノ	0000838105-1282	0000838106-1537
手当タリ次第ノ	0000887100-006
罰当タリノ	0000373100-008
霜ノ降リタ	0000461100-008
成長ノ遅レタ	0001011207-1793
発育ノ遅レタ	0001011207-1793
選バレタ人	0000146203-769	0000146206-1537	0000146207-1793
選バレタ物	0000146203-769	0000146206-1537	0000146207-1793
タブ	0000076100-006
タブン	0000853100-001
ボタン	0000114100-001	0000114200-001
ボタン類	0000114105-1281
タレ込ム	0001127200-008
秘メラレタ関係	0000196106-1538
暖メラレタ	0000533106-1538
温メラレタ	0000533106-1538
張リ詰メタ	0001082100-002	0001131100-002
勝利ヲ収メタ	0001091106-1537	0001091107-1793
成功ヲ収メタ	0001091107-1793
メンタ	0000020100-006
冷メタ	0000164104-1025	0000164207-1794	0000570100-004
秘メタ	0000990100-011
ヨリ優レタ	0000090100-002
最近作ラレタ	0000740104-1025
守ラレタ	0000976103-770
見限ラレタ	0000277100-002
限ラレタ	0000666100-001	0000666200-002
隔タリ	0000478100-003
レンタル料金	0000892112-3073
放タレル	0000458100-005
厳然タル	0000427100-009	0000812205-1281
断固タル	0000427104-1025	0000427111-2817	0001074100-005	0001083100-010
確固タル	0000427100-003	0000491300-004	0001083110-2561	0001188100-004
当タル	0000524100-003
燦然タル	0000688100-008
純然タル	0000812204-1025
心ヲ奪ワレタ	0000584100-005	0000601100-007
世慣レタ	0001046100-003
並外レタ	0000929100-001
優レタ	0000378100-001	0000491100-007	0001252100-005
優レタ腕前	0001027208-2049
優レタ能力	0001027208-2049
隠レタ問題	0000298108-2049
廃レタ	0000762104-1025
慣レタ	0001205100-001
晴レタ	0001096100-001
枯レタ	0000246100-002
汚レタ	0000296100-002
薄汚レタ	0000296108-2049
濡レタ	0001234100-001
疲レタ	0001152100-001
荒レタ	0000968100-001
遅レタ	0000643100-001
許可ヲ得タ	0000758107-1794
的ヲ射タ	0000923106-1537
時ヲ得タ	0001151100-001
要ヲ得タ	0000923100-005
下卑タ	0000755109-2305
似タ	0000663100-007
落チ込ンダ	0000273100-002
突ッ込ンダ	0000282110-2562
身ノ毛モヨダツ	0001133300-010
同点デ並ンダ	0000160108-2049
空気ノヨドンダ	0000536108-2049
モダンナ	0000394100-002	0000900100-006
機知ニ富ンダ	0000474100-008
波瀾ニ富ンダ	0000113200-004
フダン以上ノ	0001050105-1281
裸ノ人ヲ含ンダ	0000728105-1282
手ノ込ンダ	0000180100-006
ホレ込ンダ	0000584100-004
ダマ	0000810104-1025
ダミ	0000405106-1537
メダル	0000072100-011
気ヲモンダ	0001248106-1538	0001248108-2049	0001248109-2306
入リ組ンダ	0000180100-002
皮肉ヲ含ンダ	0000614100-001
経験ヲ積ンダ	0000393106-1538	0001046104-1025
傷ンダ	0000967100-008
喜ンダ	0000487100-002	0000507100-005
死ンダ	0000246100-001
澄ンダ	0000155104-1026	0000157300-003
進ンダ	0001154100-005
チラチラト光ル	0001007110-2561
チビチビ飲ム	0000327100-003
チョットノ時間	0000714105-1281
チョットノ間	0000714100-003
チラット見ル	0000992100-007
一人ボッチノ	0000674100-002
チップ	0000483100-005
打チ勝ツ	0000257106-1537	0001239100-009
チームメート	0000790100-014
バーチャルナ	0000422104-1025
急ナ落チ込ミ	0000908110-2561
ムチャナ	0000522106-1537
チームノ主将ノ在任期間	0000694107-1793
チームノ主将ノ地位	0000694107-1793
力持チノ	0001084100-001
大金持チノ	0000959110-2561
金持チノ	0000959100-001
モチーフ	0001089100-008
チャペル	0000148100-005
チーム	0001125100-001	0001125200-001
弱小チーム	0000679207-1793
待チ望ム	0000532100-005
打チ込ム	0000875100-007
持チ込ム	0000995206-1537
赤チャン	0000143100-007
立チ寄リ	0001222100-008
崩レ落チル	0000406205-1282	0000406210-2561	0000406211-2817
流レ落チル	0000442110-2561
立チ入ル	0000604106-1539	0000604110-2562
打チ切ル	0000353106-1538
勝チ取ル	0000476100-002	0000482200-005	0001239100-004
持チ去ル	0001072100-002
持チ寄ル	0001005100-008
立チ寄ル	0001070200-003	0001223100-008
満チル	0000426100-004
立チ直ル	0000905100-002
落チル	0000402300-001	0000406200-001	0001251100-008
仲立チ	0000739100-004
持チ味	0000419100-005
打チ身	0001174100-010
気持チ	0000294100-009	0000348100-002	0000997100-002	0001219109-2305
持チ物	0001142200-001
持チ衣装	0000161100-005
腹立チ	0001128100-002
引ッパッテ伸ビル	0000388109-2305
形トナッテ現レル	0000042109-2305
気ノ毒ニ思ッテ	0001201100-003
投票ニヨッテ選ブ	0000045104-1025
ニヨッテ決マル	0000272104-1026	0000272105-1281	0000272106-1537
場合ニヨッテ	0001045100-003
市場ニ出回ッテ	0000070100-004
残念ニ思ッテ	0001047104-1026
遺憾ニ思ッテ	0001047104-1026
レッテルヲハル	0000117107-1793
触ッテ調ベル	0001157100-003
テッペン	0000523107-1793
触ッテミル	0001157100-004
前モッテ送ル	0000996109-2305
ヤッテ来ル	0000055100-005	0000167100-003	0000167200-002
取ッテ代ワル	0000934100-001
帰ッテ来ル	0000954104-1025
戻ッテ来ル	0000954104-1025
持ッテ来ル	0001115100-003
疑ッテ	0001108100-001
目立ッテ	0001221106-1537
知ッテ	0000073100-001
誤ッテ	0000503107-1795
間違ッテ	0000503107-1794
酔ッテ	0001017200-002
ドット走ル	0000973114-3585
トッピナ	0001080100-011	0001195200-005
ホットナ	0000826100-008
モットモナ	0000491300-001	0000751100-005	0000899100-003
モットモナ理由	0000898103-769	0000898107-1793	0000898109-2305
ユニット	0000344105-1282
パンフレット	0000650100-005
リーフレット	0000650100-004
トップ	0000649200-003
モット	0001030100-005
真ッ赤ニナル	0000443100-004
引ッ込ミ思案ナ	0000881300-003	0001016100-003
真ッ暗ナ	0000244100-002
丸型ノ取ッ手	0000114110-2562
首ヲ突ッ込ム	0000604100-007
突ッ込ム	0000406212-3073	0000875106-1537	0000875110-2561	0000876100-007
引ッ張ル	0000159107-1793	0000872100-001	0000872200-002
取ッ手	0000114100-005
茶目ッ気	0000537100-003
肝ッ玉	0000219100-005
ツテ	0000790100-010
一ツニマトメル	0000166106-1537
ツント痛ム	0000540207-1796
一ツニナル	0000166106-1538
先頭ニ立ツ	0000648100-003
実際ニ役立ツ	0001206106-1537
強烈ニ打ツ	0000524209-2305	0000524210-2561
教育ニ役立ツ	0000337103-769
説明ニ役立ツ	0000276106-1537
役ニ立ツ	0000518100-005	0000519100-002	0000706400-004	0001206100-004
陣頭ニ立ツ	0000648100-007
目ヲツブル	0000547100-006
生マレ育ツ	0000108100-005
ツモリ	0000874100-005
最モ目立ツ	0000689112-3073
仲ヲ取リ持ツ	0000605100-006
ツール	0001155100-005
ルーツ	0000408300-010	0001049100-012
影響力ヲ持ツ物事	0000576103-769
影響力ヲ持ツ人	0000576103-769
責任ヲ持ツ	0000248106-1537
関係ヲ断ツ	0000916100-003
健康ヲ保ツ	0001163200-008
信条ヲ持ツ	0001143106-1537
偏見ヲ持ツ	0000091104-1027
反感ヲ持ツ	0000510100-003
意味ヲ持ツ	0000703106-1538	0000703107-1794
心ヲ打ツ	0000557100-005
意見ヲ持ツ	0001143100-004
一ツ	0000810103-769
保ツ	0000199200-004	0000630200-003	0000630300-007	0000690100-002	0000980100-002
先立ツ	0000434106-1537	0000848100-003
勝ツ	0000257100-001	0001239100-001
役立ツ	0000518200-001	0001211200-005
打ツ	0000083100-003	0000524100-004	0000524200-003
持ツ	0000525100-001
放ツ	0000922100-003
波立ツ	0000968100-008
目立ツ	0000699100-001	0001221100-004
立ツ	0001062100-001
粘着テープデ留メル	0000062111-2817
トテモ下手ナ	0000564105-1281
トテモ大切ナ	0000249110-2561
トテモ親切ナ	0000519106-1538
トテモ協力的ナ	0000519106-1538
トテモ魅力的ナ	0000084108-2049	0000084111-2817	0000084208-2049
トテモ苦手ナ	0000564105-1281
トテモ重要ナ	0000689104-1026
テナント	0001129100-004
トテモ	0001217100-003
折ニフレテ	0001045100-004
心ニ留メテ	0000073105-1281
途方ニ暮レテ	0000191105-1281
ベテランノ	0000393100-003
面目ノ保テル	0001252108-2050
希望ノ持テル	0000863100-002
並外レテ大量ノ	0000641111-2819
当テハマル	0000701105-1281	0000923100-003
テレビ視聴者	0000068100-004
ペテン	0000457200-006
ペテン師	0000226100-006
ホテル	0000443100-003
テーマ	0001089100-005
組ミ立テル	0000110100-005	0000840106-1537
組ミ立テ	0000856110-2561
目ヲ細メテ見ル	0001064107-1793
割リ当テル	0001005100-005
駆リ立テル	0000450100-006	0000540109-2306
連レテ来ル	0001115100-004
予定ヲ立テル	0000773100-006
予算ヲ立テル	0000980204-1026
計画ヲ立テル人	0000774105-1281
陰謀ヲ企テル	0000819100-003
焦点ヲ当テル	0000444100-001
生計ヲ立テル	0001246100-003
腹ヲ立テル	0000680100-004
音ヲ立テル	0000406209-2305
企テル	0000597108-2049	0001173100-004
充テル	0000287100-006
建テル	0000081106-1537	0000110100-002
慌テル	0000539100-002
捨テル	0000931100-005	0001078100-010
見捨テル	0000301107-1794	0000653400-003
泡立テル	0001077100-004
立テル	0000110100-007	0000876100-010
系統立テル	0000053100-004
育テル	0000108100-001
我ヲ忘レテ	0000541110-2561
恐レテ	0000022100-001
企テ	0000065100-002	0000860100-011
似テ	0000663100-001
手当テ	0001166100-003
当テ推量	0001051100-007
果テ	0000335107-1793
気立テ	0000807106-1539	0000807110-2563
デートノ相手	0000790207-1793
デート	0000707206-1537
ポンプナドデ送ル	0000873103-769
ヌードデ	0000728107-1795
非常ニ簡単デ楽ナ	0000332110-2561
感動的デ重要ナ	0000688107-1793
正常ナ状態デ	0000430110-2561
デブノ	0000414100-003
僅差デノ	0000160100-003
ヒモデ留メル	0000062109-2305
愛称デ呼ブ	0000117111-2818
飛行機デ運ブ	0001115109-2305
デモ参加者	0000867105-1281
全速力デ走ル	0000973108-2049
甘言デ釣ル	0000808100-007
細目デ見ル	0001064107-1794
色紙デ飾ル	0000254109-2305
花デ飾ル	0000254109-2305
電飾デ飾ル	0000254109-2305
的外レデ	0000616106-1539
大丈夫デ	0001233100-005
不満デ	0001192200-007
不運デ	0001191100-005
逃亡中デ	0000459105-1282
使用中デ	0000009100-004
活動中デ	0000009100-003
発売中デ	0000070100-003
失業中デ	0001189105-1282
無事デ	0000976106-1537
恋仲デ	0000584100-002
健在デ	0000976100-006
元気デ	0000976100-005
非公式デ	0001196106-1537
有効デ	0000009100-005
賛成デ	0000575100-001
苦手デ	0000564106-1539
暇デ	0000332207-1795
正気デ	0000687109-2305
無益デ	0001207104-1025
無駄デ	0001207104-1026	0001207104-1027
自由デ	0000459105-1283
駄目デ	0001207104-1028
裸デ	0000728107-1794
順調デ	0000430110-2562
モトモトノ	0000434100-008
ホトンド常ニ	0001209109-2305
ホトンドノ場合	0001209100-008
ホトンド	0000030100-001
トレンド	0000411100-006
水ノ泡トナル	0000402211-2818
ノ理由トナル	0000129105-1281
パートナ	0000790100-001	0000790200-001
マトモナ	0000896108-2049	0000949100-003	0000962200-007
中心トナル	0000420105-1282
脅威トナル物事	0001144100-002
脅威トナル人	0001144100-001
盾トナル人	0000836108-2049
緩衝トナル人	0000836108-2049
代用トナル	0000934100-004
後任トナル	0000934100-002
兆候トナル	0000703100-002	0001093100-006
利益トナル	0001211208-2049
土台トナル	0000473103-770
基本トナル	0000473103-770	0000473104-1025
基礎トナル	0000473103-770
好敵手トナル	0000174200-003
害悪トナル	0000509110-2561
後継者トナル	0000934103-769
特徴トナル	0000420100-004
象徴トナル	0001179100-005
証拠トナル	0000188100-003
焦点トナル	0000420100-006
盾トナル物	0000836108-2049
緩衝トナル物	0000836108-2049
発端トナル	0000607107-1795
里親トナル	0000108100-004
ピョンピョント飛ビ跳ネル	0000628107-1793
ノンビリト	0000332207-1794
外国トノ	0000451100-002
パント鳴ル	0000078100-003
パトロン	0001055100-009
ピョンピョント跳ビ回ル	0000628105-1282
ピート	0001041111-2818
トラブル	0000854100-011	0001170100-003	0001170200-003
プレート	0001019200-008
リベート	0000106100-007
ホレボレト眺メル	0000046105-1281
ポント鳴ル	0000078100-002
レポート	0000936200-004
マトメル	0000431100-007
意見ヲマトメル	0000369107-1793
マトメ役	0000774100-003
見トレル	0000046105-1282
仮眠ヲトル	0001028100-005
形ヲトル	0000367105-1283
睡眠ヲトル	0001028103-769
連絡ヲトル	0000117208-2049	0001223112-3073
ルート	0001231300-010
法ト秩序	0000797105-1281
ホドホドニ	0000789109-2308
ホドホドノ	0000012100-003	0000138108-2050
ドナ	0001055100-007
ドナル	0001012100-002
ヌードノ	0000728100-003
血ミドロノ	0001220100-004
子ドモノ	0000145100-001
ハンドル	0000114100-003
ハードル	0000080100-004
ヨホド	0001217104-1025
ドラマ	0000324100-003	0000815100-003
ムード	0000061100-006
子ドモ	0000143100-001
不利ナ状況ニナル	0000098105-1281
他人ノ身ニナレル	0001185206-1537
バラバラニナル	0000317100-004
励ミニナル	0000863100-006
慰メニナル物事	0000925104-1025	0000925106-1537
慰メニナル人	0000925104-1025	0000925106-1537
決メ手ニナル	0000366107-1794
代ワリニナル物	0000935103-769
頼リニナル	0000519103-769	0000924100-002
ニナル	0000085103-769	0000085105-1281	0000085106-1537	0000085107-1793
一生懸命ニナル	0001173100-007
一杯ニナル	0000426106-1537
不合格ニナル	0000402300-002
中止ニナル	0000402200-009
広告主ニナル	0000472106-1537
保証人ニナル	0000472100-005
健康ニナル	0000323109-2305
優勢ニナル	0000257100-003	0000285107-1793
元気ニナル	0000905107-1793
先駆者ニナル	0000285200-003
利益ニナル	0001211200-009
有力ニナル	0000285107-1793
逆効果ニナル	0000402208-2049
印ニナル	0000703106-1537	0000703107-1793
有名ニナル	0001090100-002
退学ニナル	0000402300-004
結局ニナル	0000938100-005
非常ニ異ナル	0000292105-1281
険悪ニナル	0000577100-004
曲線状ニナル	0000237103-769	0000237107-1793
本質的ニ異ナル	0000292106-1537
疎遠ニナル	0000317207-1793
駄目ニナル	0000402210-2561
裸ニナル	0001117100-003
首ニナル	0000432100-008
非常ニ下手ナ	0000564108-2049
精神的ニ不安定ナ	0000952107-1794
非常ニ不快ナ	0000075109-2306	0000075110-2562	0000704107-1793
実ニ見事ナ	0000558105-1281	0000558106-1538
非常ニ元気ナ	0001233112-3073
安全ナ場所ニ	0000976108-2049
指導者ニ必要ナ能力	0000493205-1282
非常ニ魅力的ナ	0000602105-1281
性的ニ魅力的ナ	0000084109-2305
法的ニ有効ナ	0000655100-010
非常ニ印象的ナ	0000496110-2561	0000929110-2561
歴史的ニ有名ナ	0000409100-002
歴史的ニ重要ナ	0000409104-1025
絶対ニ必要ナ	0000366103-769	0000366109-2305
指導者ニ必要ナ資質	0000493205-1282
非常ニ得意ナ	0000491405-1281
非常ニ憂鬱ナ	0000737112-3073
非常ニ苦手ナ	0000564108-2049
非常ニ特殊ナ	0000929105-1281
非常ニ良質ナ	0000491107-1793
非常ニ重要ナ	0000496207-1793
法的ニ正当ナ	0000655106-1537
流行ニ敏感ナ	0000412108-2049
他ナラヌ	0001216100-001
ホンノ些細ナ	0001029107-1793
得意ナモノ	0000049210-2563
必要ナモノ	0000735107-1793
不正ナ権力ノ行使	0000939103-769
足ノ不自由ナ	0000297105-1281
嫌ナ味ノ	0000311104-1025
正常ナ状態ノ	0000430111-2817
頭ノ柔軟ナ	0001154100-008
気ノ毒ナ	0001191200-010
マバラナ	0000560100-006	0000752100-006
ホボ正確ナ	0001210104-1025
マナ	0000947100-004
マレナ	0000890100-002	0001199103-770
月並ミナ	0000193104-1026
嫌ミナ	0000614100-003
巧ミナ	0000491400-006
重要ナ位置ヲ占メル	0000420105-1281
惨メナ	0000674108-2049	0001133100-010	0001191200-008	0001192100-004
最モ重要ナ特徴	0000732105-1281	0000732106-1537
最モ重要ナ性質	0000732105-1281
最モ重要ナ	0000366107-1793	0000689105-1281	0001156108-2049	0001156110-2561	0001156111-2817
平ラナ	0000435100-001
目障リナ	0001180100-010
連ナリ	0000335108-2049
ナル	0000085100-001	0001092105-1281	0001092106-1537
完全ナル	0000179103-769	0000179104-1025	0000179106-1537	0000179107-1793	0000179108-2049	0000179109-2305	0000179110-2561
単ナル	0000812204-1027
異ナル	0000290100-001	0000292100-002	0000788110-2561
不慣レナ	0000727104-1026	0000740300-001
哀レナ	0000674108-2050	0000975100-005
的外レナ	0001191203-770
ワナ	0001112106-1538
一時的ナ	0001011100-002
一様ナ	0000361100-004
一般的ナ	0000479100-001	0000745100-009	0001208100-008
丁寧ナ	0000823100-002
丁重ナ	0000823100-003	0001046100-008
大丈夫ナ	0000976100-003
丈夫ナ	0001233100-003
第三者的ナ	0000748100-006
上品ナ	0000343100-006	0001046100-006
下品ナ	0000755100-009
下手ナ	0000564104-1026	0000564106-1538	0000564107-1793	0000825200-006
下等ナ	0000825209-2305
不幸ナ出来事	0001170205-1281
不運ナ出来事	0001170205-1281
不幸ナ事故	0001170205-1281
不運ナ事故	0001170200-011
不人情ナ	0000974108-2049
不健康ナ	0001017100-006
不公平ナ	0001255300-004
不公平ナ行為	0000573104-1025
不十分ナ	0000302100-004	0000560100-001
不親切ナ	0000164206-1538	0000586106-1538	0000704100-002
不適切ナ	0001255200-001
不利ナ	0000293200-006
不利益ナ	0000509100-006
到達不可能ナ	0000556107-1793
不規則ナ	0001215100-007
実現不可能ナ	0000556107-1793
達成不可能ナ	0000556107-1793
不可欠ナ	0000366103-770	0000366104-1025	0000366108-2049	0000366111-2817	0000574100-006
不可能ナ	0000556100-002
不可解ナ	0000192100-005	0001080100-009
不合理ナ	0000615100-001	0000960100-006
不都合ナ	0000293200-003	0001255200-004
不吉ナ	0001191100-004
不気味ナ	0000467100-004	0001080100-007
不品行ナ	0001255300-010
不器量ナ	0001180108-2049
大胆不敵ナ	0000100100-004
不機嫌ナ	0000617100-005	0001192200-005
不安ナ	0001016104-1025	0001082100-004	0001248100-001
不安定ナ	0001182108-2049
不確定ナ	0001182103-769	0001182104-1025	0001182106-1537	0001182108-2049
不確実ナ	0000998200-005
不誠実ナ	0000312100-001
不審ナ	0001108200-002
理不尽ナ	0001181104-1029
不平等ナ	0001255300-007
不幸ナ	0001191100-002
不幸ナ状況	0001170205-1281
不当ナ	0000212100-005	0000522100-004	0000548100-006	0001181104-1028	0001255300-005
不適当ナ	0000560103-769	0001191203-769	0001255200-003
不道徳ナ	0000373105-1282	0001255300-009
不必要ナ	0000379100-006
不相応ナ	0000380106-1538
不快ナ	0000075100-005	0000311100-004	0000755100-001	0001200105-1282	0001200107-1796
不愉快ナ	0000075107-1793	0000347104-1025	0000704100-003
不思議ナ	0001080100-004
不注意ナ	0000124100-001	0000586106-1537
不憫ナ	0000975100-006
不敬ナ	0000969100-008
不明ナ	0001182103-770
不明瞭ナ	0001182100-004	0001210107-1793
不明確ナ	0001182100-002	0001210109-2305
不服ナ	0001192200-002
不条理ナ	0001255300-006
不適格ナ	0000564100-002	0001255200-006
不正ナ	0000212100-001	0000312103-769	0001255300-003
不正直ナ	0000312100-002
不正確ナ	0001210108-2049	0001255100-008
不毛ナ	0000572105-1282
不運ナ状況	0001170205-1281
不法ナ	0000548100-001
不経済ナ	0000681100-008
不満ナ	0000035100-006	0001192200-001
不満足ナ	0000302100-003
不潔ナ	0000296100-001
不自由ナ	0000297100-002
不足ナ	0000560100-002
不運ナ	0001191100-001
不遜ナ	0000969106-1537
世界主義的ナ	0000603100-009
世界的ナ	0000603100-005
中傷的ナ	0000592100-007	0000704100-005
中途半端ナ	0000570106-1537
自己中心的ナ	0000994100-005
中心的ナ	0000689100-003
中立的ナ	0000748100-004
集中的ナ	0000598100-003
非民主的ナ	0000940100-005
主観的ナ	0000777107-1793
主要ナ	0000689100-002	0000832104-1025
恒久的ナ	0000803100-002
貧乏ナ	0000825100-002
乱雑ナ状態	0000710107-1793
乱暴ナ	0001220100-006	0001238100-001
乱雑ナ	0001198100-004
無味乾燥ナ	0000102100-007
予備的ナ	0000434100-009
予測可能ナ	0000838100-001
面倒ナ事態	0000854109-2305
悲惨ナ出来事	0000227107-1793
事務的ナ	0000340107-1793	0000897100-003
危険ナ物事	0001144100-004
実行可能ナ事柄	0000770106-1537
多種多様ナ物事	0000888106-1537
大事ナ	0000249100-006
計画的ナ軍事攻撃	0000063108-2049
無事ナ	0000976100-002
驚異的ナ物事	0000715106-1537
見事ナ	0000558103-769	0000558107-1793	0000688100-002	0001244100-005	0001252100-007
些細ナ	0000713100-003	0001029100-003
交換可能ナ	0000361111-2817
社交的ナ	0001038100-001
非社交的ナ	0001043100-005
個人的ナ	0000777100-004	0000990100-004
大切ナ人	0000245100-004
危険ナ人	0001144100-003
多種多様ナ人	0000888106-1537
有益ナ人	0000088109-2305
驚異的ナ人	0000715106-1537
非人間的ナ	0000233109-2305
厄介ナ	0000038111-2818	0000293200-002	0000508100-005	0000998200-004	0001250100-002
厄介ナ状況	0001170200-004
代表的ナ	0001179100-002
超近代的ナ	0000394106-1538
責任重大ナ	0000832110-2561
無責任ナ	0000902100-004
社会的ナ	0001039100-002
伝統的ナ	0000193100-002	0001161100-001	0001208104-1025
遺伝的ナ	0000731100-004
近似的ナ	0001210100-006
優位ナ	0000832100-005
重要ナ地位	0000554100-002
具体的ナ	0000427100-007	0000788100-012
体系的ナ	0000340100-003
余分ナ	0000379100-001
創作的ナ	0000224100-003
無作法ナ	0000755100-008	0000969100-003
例外的ナ	0001050100-004
情報提供的ナ	0000337106-1537
安価ナ	0000138104-1026	0000825205-1281
高価ナ	0000392100-001	0001211100-001
侮蔑的ナ	0000592100-002
侮辱的ナ	0000592100-001	0000755100-003
便利ナ	0001206100-006
保守的ナ	0000193100-001	0000762100-006
個別的ナ	0000788106-1537
個性的ナ	0001194100-008
圧倒的ナ	0000179100-005	0001184104-1025	0001184106-1537
面倒ナ	0000960106-1538
非倫理的ナ	0001255308-2049
偉大ナ	0000496200-001	0000832100-009
偏狭ナ態度	0000884107-1793
偏狭ナ行為	0000884107-1793
偏狭ナ	0000091100-004	0000666100-006
健全ナ	0000491300-006
健康ナ	0001233100-001
健康ナ状態	0000513103-769	0000513105-1281
健康的ナ	0000514103-769
偽善的ナ	0000312100-005
準備的ナ	0000434106-1538	0000434111-2817
無防備ナ	0001225100-007
傲慢ナ	0000868200-001	0000969100-010
儀礼的ナ言動	0000947105-1281
儀礼的ナ	0000823100-004
優勢ナ	0000832100-006
優秀ナ	0000596100-010
優美ナ	0000343106-1537
優雅ナ	0000343100-005	0000412100-005
元気ナ	0000356100-003	0000670100-001	0001233100-002
先天的ナ	0000731100-006
先鋭的ナ	0000885100-004
兌換可能ナ	0000437106-1537
入念ナ	0000180100-007	0000282100-004
入門的ナ	0000434100-011
全国的ナ	0000235104-1027	0000730100-004
安全ナ場所	0000910105-1281	0000910110-2561	0001006105-1281
安全ナ	0000976100-001
完全ナ	0000179100-002	0000282111-2818	0000473105-1282	0000800100-002	0001236100-008
完全ナ物	0001142100-003
全面的ナ	0000179100-003	0000282100-007	0001237100-010
公明正大ナ	0000899100-007
公明正大ナ行為	0000629106-1537
公平ナ	0000430100-005	0000748104-1025	0000899104-1025	0000899106-1538	0000899107-1794	0000899108-2049
公正ナ	0000430105-1282	0000899100-006
公正ナ行為	0000629106-1537
共感的ナ	0000998100-006
典型的ナ	0000745100-007	0001179100-001
内向的ナ	0001043100-001
内気ナ	0001016100-002	0001043100-004
冗長ナ	0000102100-004
描写的ナ	0000276100-002
冷淡ナ	0000164200-001	0000974100-007
